feature,lime_importance
lyrics_word_count > -0.16,7.093154566479553
duration_ms <= -0.38,3.773128317333865
explicit <= -0.21,3.201797848856444
-0.18 < lyrics_word_count <= -0.17,2.66295658966182
-0.68 < gender_type <= 1.24,2.5124681538886238
gender_type <= -0.68,2.33915253618091
lyrics_word_count <= -0.18,2.1014361219867
instrumentalness > -0.24,1.9240284215146977
lyrics_line_count <= -0.24,1.9189727694039576
-0.06 < duration_ms <= 0.30,1.6944596270520114
energy > 0.77,1.6215442834564033
disc_number <= -0.09,1.5623749206699609
-0.73 < track_number <= -0.24,1.4660996552870742
energy <= -0.51,1.412108114173866
loudness > 0.60,1.400897363059649
-0.20 < lyrics_line_count <= -0.16,1.3186308089523342
is_version <= -0.26,1.1784910043470764
-0.38 < duration_ms <= -0.06,1.1119953052079956
instrumentalness <= -0.24,0.9794665152369268
-0.22 < loudness <= 0.24,0.8679825329723383
liveness > 0.38,0.8417912923389956
-0.03 < tempo <= 0.64,0.67516307831243
energy_danceability_score > 0.78,0.6407097211841946
danceability > 0.78,0.6265681735027887
tempo > 0.64,0.6227504794288623
-0.51 < energy <= 0.22,0.603391139780774
-0.24 < track_number <= 0.26,0.6013603527997567
-0.33 < speechiness <= 0.10,0.5883201296896206
speechiness <= -0.51,0.556350319308685
key <= -0.89,0.5478678299423461
danceability <= -0.62,0.4983394028732228
acousticness > 0.50,0.49391328284908925
track_number <= -0.73,0.45900196433812196
is_remix <= -0.13,0.4112998273930133
acousticness <= -0.78,0.39129992591626156
-0.38 < liveness <= 0.38,0.3873577292053389
is_live <= -0.11,0.3821849273845898
-0.61 < valence <= 0.13,0.34532271038952983
-0.56 < energy_danceability_score <= 0.28,0.3313935536236927
energy_danceability_score <= -0.56,0.27390212610386855
-0.06 < key <= 1.05,0.1738103124556409
-0.79 < tempo <= -0.03,0.15338505990383558
-0.89 < key <= -0.06,0.149064877689996
-1.17 < is_group <= 0.85,0.138443293667177
0.26 < danceability <= 0.78,0.07553315424827033
