feature,shap_importance
lyrics_word_count,2.022352092836389
duration_ms,1.7411028777218098
track_number,1.7254529457240766
gender_type,1.096959529660293
lyrics_line_count,1.0143511921070043
instrumentalness,0.7677019344159548
loudness,0.75088804324028
energy,0.6153938541390892
acousticness,0.533190903415828
speechiness,0.5091526534023378
liveness,0.4740732496965611
energy_danceability_score,0.38543195206087055
valence,0.3715537432534296
tempo,0.30042534978106
danceability,0.23040770329533047
is_version,0.226384155683808
is_group,0.21377324606596126
explicit,0.2038319719463853
key,0.19134580455009506
disc_number,0.0586204920826124
