feature,lime_importance
duration_ms <= -0.31,2.499563687795543
-0.24 < instrumentalness <= -0.24,2.402078162875775
-0.18 < lyrics_word_count <= -0.17,1.8866221294993861
lyrics_line_count <= -0.24,1.7743569230838334
lyrics_word_count <= -0.18,1.5491297001250746
-0.02 < duration_ms <= 0.39,1.4257568517975379
instrumentalness <= -0.24,1.4029188352108646
-0.73 < track_number <= -0.24,1.0131296751687309
is_version <= -0.26,1.0032159794001951
-0.68 < gender_type <= 1.24,0.8975712065874026
gender_type <= -0.68,0.8416453766523788
embed_285 <= -0.09,0.7400979821188991
liveness > 0.44,0.7163801618569242
explicit <= -0.21,0.6871263953003973
embed_50 <= 0.04,0.6578007208679615
-0.31 < duration_ms <= -0.02,0.545270142258391
-0.24 < lyrics_line_count <= -0.20,0.53164305136472
embed_313 <= -0.00,0.5095175406376784
embed_85 > 0.11,0.489839060434125
0.26 < loudness <= 0.58,0.47247134733134427
is_live <= -0.11,0.44977353587384256
-0.06 < embed_273 <= -0.04,0.442445958053211
embed_331 > 0.05,0.43915781997277653
0.07 < embed_50 <= 0.09,0.43736857561375586
embed_586 <= -0.10,0.4311468537361919
embed_479 > 0.01,0.41092504494153237
-0.09 < embed_560 <= -0.05,0.40512179997210296
-0.24 < track_number <= 0.26,0.4041429759723366
-0.01 < embed_399 <= 0.01,0.4040884025474636
embed_745 > 0.04,0.40041136767395463
embed_0 > 0.07,0.3998863890233668
embed_251 <= 0.04,0.39626989062996504
-0.04 < embed_388 <= 0.02,0.38287152348479353
-0.55 < energy <= 0.23,0.3730725562717177
-0.36 < speechiness <= 0.03,0.3620918012961395
-0.04 < embed_479 <= -0.02,0.3550422341621335
disc_number <= -0.09,0.3505064649889214
-0.04 < embed_227 <= -0.01,0.3459531297881723
embed_251 > 0.09,0.3443853832317161
0.00 < embed_8 <= 0.05,0.3190293330486765
embed_77 > -0.03,0.31716361288939754
0.07 < embed_295 <= 0.11,0.30863051003697123
0.09 < embed_235 <= 0.15,0.3084490129426263
embed_444 > 0.14,0.2962848158205078
liveness <= -0.61,0.2916257984538051
embed_677 > 0.21,0.29107943034993355
embed_319 > 0.09,0.2736485487552589
is_remix <= -0.13,0.0536477919681393
